age,income,claim_amount,num_claims,has_prior_fraud,is_fraud
29,79846,18328,0,0,0
33,85480,44739,1,0,0
43,72960,39733,1,0,0
43,61152,46389,0,1,0
65,47250,30715,1,0,0
38,105765,40116,2,1,0
56,68137,18580,1,1,0
53,102011,1823,2,1,0
50,66412,27472,3,0,1
47,63876,8084,3,0,0
54,114547,13455,2,1,0
40,93664,11607,2,1,0
27,70227,17919,0,1,0
22,52450,48004,1,0,0
53,104433,20394,1,1,1
51,93704,11819,2,1,0
69,26861,12969,6,1,0
48,81914,18333,1,0,0
27,83888,12700,1,0,0
36,99286,32792,3,0,0
49,81293,34311,4,0,0
18,102524,37668,1,0,0
22,88515,12945,2,1,0
62,43524,37992,2,1,0
21,27065,47526,1,1,0
33,57684,48717,1,0,0
41,108720,36634,0,1,0
33,53365,19630,1,0,0
19,78876,42036,2,0,0
66,43704,25944,3,1,1
45,77857,24360,2,1,0
49,25622,13813,5,1,0
44,103797,5601,1,0,0
37,113955,13930,1,1,0
41,111141,5333,1,1,0
29,114707,6399,3,1,1
67,107700,18839,2,0,0
52,99332,41204,0,0,0
50,116856,21195,2,1,0
50,86201,28848,2,0,0
68,52694,24693,1,1,0
60,109766,48715,0,0,0
54,42995,47729,1,1,0
29,112320,41854,3,0,0
20,100141,37450,1,0,0
18,102999,2854,5,1,0
50,28419,32558,2,0,1
57,67952,3985,3,1,0
27,53837,44585,2,1,0
60,90799,20278,0,1,0
61,68877,41264,1,0,0
46,65687,34326,1,0,1
30,119667,20280,3,1,0
29,57276,35022,4,1,0
48,54523,16667,2,0,0
63,86055,19065,3,1,0
19,74615,49846,0,1,0
68,116642,22655,0,1,0
67,30514,11006,1,1,1
52,67456,7283,2,0,0
40,27233,42622,2,1,0
34,21102,46076,2,0,0
43,86133,4325,2,0,0
25,66715,31783,0,0,0
46,105193,4143,2,0,0
43,26256,36805,1,1,0
27,84800,13417,0,1,0
43,114937,32300,1,1,0
51,61548,27526,1,1,0
68,92090,29896,0,0,0
58,98200,38443,2,0,0
24,62367,28606,2,0,0
21,109922,40916,2,1,0
67,90382,8551,2,0,0
62,46205,36436,0,0,0
28,45570,48680,3,1,0
46,50255,3246,0,0,0
53,41182,40421,2,0,0
42,59373,44901,0,1,0
38,63019,8649,4,0,0
53,82619,42209,0,0,0
27,36043,1888,5,0,0
54,65532,42983,4,0,1
26,85936,30424,0,0,0
41,39239,42559,0,1,1
52,30416,12075,2,0,0
66,23412,23699,3,0,0
52,101976,48972,1,1,0
65,44406,10950,1,1,0
53,21875,6413,2,0,0
35,57066,40305,4,1,0
66,25752,4569,1,0,0
56,106753,2242,1,0,0
49,98025,38097,0,1,0
41,21353,31085,1,0,0
40,46986,11487,0,1,0
49,106907,19309,1,0,0
54,34691,31771,2,1,0
29,89847,27638,3,1,0
66,68075,37163,1,0,0
30,30794,22615,4,1,0
40,88470,9039,3,0,0
42,36406,9198,2,0,0
52,95930,35354,1,0,0
58,46872,4824,3,0,0
47,61708,24999,3,1,0
34,40800,4436,2,0,0
66,63397,29014,1,1,0
37,57909,41857,2,1,0
65,41352,17057,2,0,0
42,113848,2310,4,0,0
39,35438,10819,1,0,0
30,108921,49233,0,0,0
36,64999,14457,7,1,0
66,38482,1477,1,1,0
53,52471,9906,2,1,0
29,67279,10868,1,0,0
58,74213,19546,7,0,1
36,33026,34276,1,0,0
29,105184,8319,4,1,0
26,25435,34149,0,0,0
24,28493,49055,1,1,0
45,92227,2845,3,0,0
31,79321,24684,5,1,0
48,22763,30858,3,0,0
69,40389,46330,1,0,0
36,51498,43678,1,1,0
64,83755,27667,3,1,0
33,55825,26293,1,1,0
22,36934,25893,3,1,0
52,25574,5629,2,1,1
29,58179,6704,0,1,0
42,21587,2776,0,1,0
69,62782,49281,2,1,0
38,74412,48996,3,1,0
53,80561,32236,1,1,0
40,97224,2244,2,1,1
33,24409,2333,1,0,1
56,91319,4669,1,1,0
62,119016,18584,1,1,0
59,46751,49347,3,1,0
56,58174,28277,1,1,0
31,76572,2933,4,1,0
48,81416,34514,3,0,0
22,32041,42800,4,0,1
52,43227,25357,2,1,0
40,55201,28071,1,1,0
46,56069,7827,1,1,1
60,102190,31844,2,1,0
28,46370,49965,2,0,0
35,115018,26664,2,1,0
64,31586,1792,4,0,0
29,70231,40695,1,0,0
26,25322,18651,2,0,0
27,85294,43510,1,0,0
61,99468,40137,1,1,0
34,49299,48568,3,0,1
55,110715,20074,1,1,0
24,90793,8874,4,0,0
63,66501,17676,2,1,0
30,77134,40632,0,1,0
57,29777,37790,5,0,1
59,31249,19032,3,0,0
26,41390,31885,2,0,0
67,40369,12008,0,0,0
44,32881,45870,0,1,0
19,29587,49110,4,0,0
22,113800,44878,1,0,0
46,94327,6171,1,1,0
54,107911,10589,1,1,0
55,108147,19077,4,1,0
36,27833,7710,1,1,1
25,67013,21236,6,1,0
65,83620,39227,3,0,0
62,35754,15937,0,0,0
18,98113,10754,1,0,0
39,116631,26688,3,1,0
69,106784,8048,2,0,0
34,55282,23568,2,0,0
24,56737,33047,2,0,0
42,117427,10483,1,1,0
62,44124,18545,1,1,0
21,90102,18413,2,0,0
53,22196,29913,1,0,0
23,81527,46217,2,0,0
48,116651,49122,2,0,0
36,105395,34746,2,1,0
61,31345,9709,2,1,0
56,54077,26358,3,1,0
44,86400,49528,1,1,0
27,32055,12023,6,1,0
43,105283,30851,2,0,0
36,64484,29756,1,1,1
56,97514,12145,0,1,0
20,110135,22192,2,0,0
62,55771,48259,1,1,0
30,77654,19839,1,0,0
67,66540,28410,1,1,0
45,103151,41160,1,1,0
37,49377,12447,2,1,0
45,115567,22033,0,0,0
25,69573,42355,1,0,0
58,62733,11129,3,0,0
56,31760,31358,1,1,0
18,119250,14907,2,0,0
20,45762,22637,1,0,0
30,70986,39196,0,1,0
45,54332,23369,3,1,0
66,60100,30481,1,1,0
42,24944,32681,7,1,0
50,68825,3589,3,0,0
55,33877,24560,0,0,0
23,49990,4034,3,0,1
61,119612,1169,3,1,0
62,75283,27913,3,1,0
49,23258,4239,0,1,0
62,51629,4415,0,0,0
64,57579,20952,1,0,0
38,42958,12408,2,0,0
33,59465,4484,1,0,0
38,105853,19225,7,1,0
28,35775,15923,1,1,0
54,96575,21936,0,1,0
53,114633,40612,2,0,0
52,54207,20410,3,0,0
36,42553,30997,3,0,1
37,73632,37733,2,0,0
35,20055,40952,2,1,0
64,108697,22863,1,1,0
58,52873,6380,1,0,0
66,100720,21710,2,0,1
31,86205,16285,1,0,0
32,98199,28260,1,1,0
48,45318,33879,3,0,0
18,53734,17143,2,0,0
20,102227,8413,2,0,0
33,38522,32578,1,0,0
40,31656,15726,2,1,0
28,35893,28015,3,1,0
29,36493,6983,1,1,0
27,23632,20178,3,1,0
49,115872,27990,3,1,1
33,108648,11321,2,0,0
25,81779,44829,3,0,0
55,58452,37366,6,0,0
29,33266,35294,3,0,0
41,81607,41677,1,0,0
45,36940,35737,2,0,0
25,44003,42911,2,1,1
45,118408,18886,2,0,0
53,54815,45296,3,0,1
43,50869,23791,2,1,0
25,69297,9301,5,1,0
67,80107,36122,2,1,0
45,102793,39087,0,0,0
45,36682,33993,0,0,0
54,39622,48288,1,1,0
58,50408,36779,3,1,1
53,28837,37894,1,1,0
44,84210,34381,1,1,0
34,35407,15082,2,0,0
26,49309,6458,1,1,0
50,91918,42770,2,1,0
37,113190,23300,3,0,0
30,38895,3699,5,0,0
45,119087,30485,3,1,0
65,106912,41285,1,0,0
46,20370,2019,3,0,0
30,20486,33471,0,1,0
63,43762,49671,5,1,0
52,46613,21270,3,0,0
23,23196,23615,1,1,0
35,114937,14698,3,1,0
68,96349,49918,0,0,0
22,84839,39346,4,0,0
64,61916,7729,2,0,1
42,28572,40729,0,0,0
19,48225,12171,0,0,1
27,65853,14947,1,1,0
47,69390,35725,1,0,0
67,52275,20450,1,1,0
62,92379,14300,0,1,0
22,21105,20064,2,1,0
50,79896,5441,3,1,0
18,63209,46779,2,1,0
35,117175,20332,1,0,0
49,62487,21115,3,1,0
64,38051,34869,1,1,0
66,114244,22868,5,0,0
28,97400,42997,2,1,0
38,86961,21615,2,0,0
43,80156,14615,4,1,0
42,77175,15732,1,0,0
39,26849,26367,0,0,0
44,38976,46134,3,1,0
66,119794,43738,1,0,0
30,76866,46760,1,0,0
50,67078,1981,4,1,0
51,51113,22554,2,1,0
58,35401,26319,1,1,0
52,32884,17130,3,1,0
18,104360,19815,1,1,0
38,57563,9566,3,1,0
65,54414,27329,4,0,0
23,36142,7349,4,1,0
45,91492,11728,1,1,0
34,99464,41316,4,1,0
22,95257,19375,0,1,0
48,96693,22814,0,1,0
22,55135,37214,0,1,0
55,92232,22545,1,1,0
20,47862,46588,4,1,0
40,25190,19953,1,1,1
54,90199,3872,2,0,0
54,24331,10368,1,0,0
27,72186,35103,5,0,1
27,64648,6413,1,1,0
36,48549,30269,1,1,0
34,101782,21156,2,0,0
38,45761,14423,2,1,1
31,23262,39062,2,0,1
26,71259,43805,2,1,0
63,92572,2987,1,1,0
18,73472,38597,2,1,0
68,107858,19369,4,1,1
62,104667,28868,4,0,0
30,24677,12434,4,1,1
21,93508,15548,4,0,0
18,100865,17636,1,1,0
66,70617,33383,6,0,0
57,106029,43196,4,1,0
49,38595,18007,2,1,0
51,107459,36924,1,1,0
45,80148,31211,1,1,0
48,66926,12328,2,0,0
25,95271,4389,4,0,0
56,54457,10458,2,0,0
43,62531,3945,1,0,0
51,93263,10352,4,0,1
20,93300,11486,1,1,0
67,83171,42400,3,0,0
29,65771,3092,6,0,0
18,113135,37527,0,0,0
61,86354,6112,3,1,0
22,57289,17937,3,0,0
47,53892,38672,2,0,0
47,91196,47026,0,0,0
34,115057,2112,4,0,1
65,58409,36545,6,1,0
64,54470,32740,3,1,0
40,38385,24481,3,0,0
32,43296,49355,1,1,0
54,81716,11025,1,1,0
38,109152,35082,2,0,1
31,46382,14562,2,1,0
19,96675,12304,2,1,0
28,117596,8015,2,1,1
68,42419,45885,2,1,0
56,113321,6710,4,1,0
55,101238,13588,2,1,0
51,114753,21967,0,1,0
55,59291,22904,2,1,0
67,32397,25256,2,0,0
51,77888,26052,3,1,0
35,55169,16436,2,1,0
47,82182,22815,3,1,0
32,112476,16196,2,0,0
44,62249,19089,4,0,0
68,48341,18604,1,1,0
51,95603,3506,1,0,1
69,66144,33584,1,0,1
55,81772,21709,1,1,0
50,99360,45840,2,0,0
41,33444,49904,3,0,0
32,65647,48111,7,0,0
47,118843,39247,3,0,0
59,30974,44202,2,0,0
68,58383,4090,2,0,0
34,114826,40265,2,0,0
22,101552,22552,1,1,0
46,117648,30135,1,0,0
21,114049,15691,3,0,0
27,22956,40761,3,0,0
34,28077,34741,3,1,0
27,56490,22661,2,1,0
34,75612,42025,4,1,0
37,56159,7092,2,0,0
41,59710,36674,2,1,0
22,103536,1570,2,0,0
51,33806,13084,1,1,0
23,98345,1307,2,0,0
19,100391,4742,0,0,0
30,114924,42742,3,0,0
60,26458,29792,3,1,1
60,55524,1765,3,1,0
65,26853,42732,3,1,0
28,60477,25198,1,1,0
68,52222,8735,1,1,0
64,38320,17202,2,0,0
40,114154,48199,2,0,0
33,72243,12377,0,1,0
48,65615,47042,0,0,0
28,37352,15297,0,1,0
33,92833,9036,2,0,0
25,113476,41364,1,0,0
21,23203,25369,3,1,1
57,59267,35817,1,0,0
21,57941,38443,2,1,0
42,102809,2663,3,0,0
20,45368,40244,1,0,0
49,97186,13028,4,0,0
20,50984,20823,1,0,0
44,61941,16077,2,1,1
46,92918,40911,1,1,0
49,72683,20631,4,0,0
67,20801,2910,4,1,0
68,67965,34500,0,1,0
36,105269,20897,3,1,1
38,29969,38377,1,0,0
22,55969,12134,2,1,0
35,102269,38224,0,1,0
45,52449,27897,2,1,0
59,111679,48280,3,1,0
39,45705,37103,0,0,0
38,80303,49313,4,0,0
23,48363,46582,0,1,0
18,50720,8056,6,1,0
22,29972,29950,4,1,0
58,53351,3753,7,0,0
29,56145,32941,0,1,0
43,107948,35140,2,1,0
63,109614,15234,0,0,0
51,108116,10636,1,0,1
66,76235,4376,2,1,0
31,34855,31783,2,0,0
43,56169,42249,2,0,0
62,66404,44025,1,0,0
44,39569,17447,4,0,1
26,74437,21329,2,0,1
43,68506,17713,3,0,0
64,45738,5858,2,0,0
39,26772,20472,3,0,0
64,110410,17524,1,1,0
47,39731,47387,2,1,0
60,30131,5539,5,0,0
65,86324,19857,3,1,0
34,74097,39362,2,1,0
43,101720,37671,0,1,0
53,116433,6364,1,0,0
18,22889,1449,2,1,0
25,29569,21830,4,1,0
66,107193,22078,1,1,0
52,95677,38574,5,1,0
69,105192,1869,3,0,0
32,107154,39847,2,1,0
64,97470,41075,5,1,0
39,108822,29140,3,1,0
31,27612,4659,1,0,0
43,71644,37370,2,1,0
45,52069,42352,3,0,0
40,101741,15385,0,0,0
31,47331,44751,2,0,0
41,75897,20337,3,1,0
19,33934,6131,2,0,0
62,30095,2358,0,0,0
43,111494,26614,1,0,0
31,38706,17771,1,1,0
68,63516,14603,2,1,0
24,117008,17246,2,0,0
20,54629,18216,3,1,0
64,66910,42209,4,1,0
40,108540,43987,2,1,1
63,40431,43488,0,0,0
